id,name,album,artist,play_count,is_favorite
1178,ONESELF (feat. 初音ミク),DRESSCHORD,Twinfield/Hatsune Miku,2,False
1188,Airglow,Airglow,Víolet Dawn,3,False
1193,夏天幻游日记 翻唱,夏天幻游日记 翻唱,warma,52,False
1160,にっこり^^調査隊のテーマ (feat. 鏡音リン&鏡音レン)­­,にっこり^^調査隊のテーマ,Wonderful★opportunity!­,134,False
1312,Secret Seeker,Secret Seeker - Single,YAMAGISHI KOJI & Hatsune Miku,102,True
1199,きゅうくらりん - STUDY WITH MIKU ver. -,STUDY WITH MIKU part3,いよわ,1,False
1268,きゅうくらりん,きゅうくらりん,いよわ,23,False
1181,一千光年,一千光年,いよわ,49,False
1185,失敗作少女 - MARETU REMIX,ダーリンシンドローム,かいりきベア・MARETU ,52,False
3501,さくゆいたいそう,さくゆいたいそう - Single,さくゆい,39,True
1197,メズマライザー,メズマライザー, サツキ,166,True
3779,Mesmerizer,Mesmerizer - Single,"サツキ, Hatsune Miku & Kasane Teto",0,True
1203,夜咄ディセイブ - STUDY WITH MIKU ver. -,STUDY WITH MIKU part3,じん,0,False
1201,エゴロック - STUDY WITH MIKU ver. -,STUDY WITH MIKU part3,すりぃ,0,False
1194,白い雪のプリンセスは-Re:incarnation-,LOST STORY,のぼる↑,213,True
1214,シャルル - STUDY WITH MIKU ver. -,STUDY WITH MIKU part3,バルーン,0,False
1206,ノンブレス・オブリージュ - STUDY WITH MIKU ver. -,STUDY WITH MIKU part3,ピノキオピー,1,False
1183,Aじゃないか,Aじゃないか­­ ,ピノキオピー/初音ミク/鏡音リン,21,False
1266,ずんだもんの朝食　〜目覚ましずんラップ〜,ずんだもんの朝食　〜目覚ましずんラップ〜,ひらうみ,16,False
1215,我儘姫 - STUDY WITH MIKU ver. -,STUDY WITH MIKU part3, ふじを,1,False
1158,SnowMix (feat. 初音ミク),SNOW MIKU 2023,まらしぃ,254,True
1153,39みゅーじっく！,「マジカルミライ 2016」OFFICIAL ALBUM,みきとP、まご,264,True
1136,白石溪,中华少女Project (Deluxe Edition),乐正绫/純白P/洛天依,79,False
1232,ヴァンパイア - STUDY WITH MIKU ver. -,STUDY WITH MIKU part1,初音ミク,1,False
1231,ごめんね ごめんね - STUDY WITH MIKU ver. -,STUDY WITH MIKU part1,初音ミク,1,False
1228,ジャンキーナイトタウンオーケストラ - STUDY WITH MIKU ver. -,STUDY WITH MIKU part1,初音ミク,2,False
1226,しわ - STUDY WITH MIKU ver. -,STUDY WITH MIKU part1,初音ミク,0,False
1225,ダブルラリアット - STUDY WITH MIKU ver. -,STUDY WITH MIKU part1,初音ミク,2,False
1230,ビターチョコデコレーション - STUDY WITH MIKU ver. -,STUDY WITH MIKU part1,初音ミク,1,False
1223,ラグトレイン - STUDY WITH MIKU ver. -,STUDY WITH MIKU part1,初音ミク,1,False
1222,ラストリゾート - STUDY WITH MIKU ver. -,STUDY WITH MIKU part1,初音ミク,1,False
1220,リモコン - STUDY WITH MIKU ver. -,STUDY WITH MIKU part1,初音ミク,0,False
1229,ルーマー - STUDY WITH MIKU ver. -,STUDY WITH MIKU part1,初音ミク,1,False
1227,ロミオとシンデレラ - STUDY WITH MIKU ver. -,STUDY WITH MIKU part1,初音ミク,0,False
1224,ヲズワルド - STUDY WITH MIKU ver. -,STUDY WITH MIKU part1,初音ミク,1,False
1218,少女レイ - STUDY WITH MIKU ver. -,STUDY WITH MIKU part1,初音ミク,2,False
1219,恋愛裁判 - STUDY WITH MIKU ver. -,STUDY WITH MIKU part1,初音ミク,2,False
1217,贖罪 - STUDY WITH MIKU ver. -,STUDY WITH MIKU part1,初音ミク,1,False
1216,転生林檎 - STUDY WITH MIKU ver. -,STUDY WITH MIKU part1,初音ミク,1,False
1221,雨とペトラ - STUDY WITH MIKU ver. -,STUDY WITH MIKU part1,初音ミク,1,False
1237,Awake now - STUDY WITH MIKU ver. -,STUDY WITH MIKU part2,初音ミク,0,False
1240,アンノウン・マザーグース - STUDY WITH MIKU ver. -,STUDY WITH MIKU part2,初音ミク,0,False
1245,インタビュア - STUDY WITH MIKU ver. -,STUDY WITH MIKU part2,初音ミク,1,False
1242,エイリアンエイリアン - STUDY WITH MIKU ver. -,STUDY WITH MIKU part2,初音ミク,2,False
1247,ガランド - STUDY WITH MIKU ver. -,STUDY WITH MIKU part2,初音ミク,1,False
1243,さよならプリンセス - STUDY WITH MIKU ver. -,STUDY WITH MIKU part2,初音ミク,2,False
1241,シャンティ - STUDY WITH MIKU ver. -,STUDY WITH MIKU part2,初音ミク,0,False
1252,タイニーバニー - STUDY WITH MIKU ver. -,STUDY WITH MIKU part2,初音ミク,0,False
1239,ド屑 - STUDY WITH MIKU ver. -,STUDY WITH MIKU part2,初音ミク,0,False
1250,ぼかろころしあむ - STUDY WITH MIKU ver. -,STUDY WITH MIKU part2,初音ミク,1,False
1249,千本桜 - STUDY WITH MIKU ver. -,STUDY WITH MIKU part2,初音ミク,0,False
1248,夜明けと蛍 - STUDY WITH MIKU ver. -,STUDY WITH MIKU part2,初音ミク,1,False
1244,帝国少女 - STUDY WITH MIKU ver. -,STUDY WITH MIKU part2,初音ミク,0,False
1238,幽霊東京 - STUDY WITH MIKU ver. -,STUDY WITH MIKU part2,初音ミク,1,False
1236,独りんぼエンヴィー - STUDY WITH MIKU ver. -,STUDY WITH MIKU part2,初音ミク,2,False
1246,猛独が襲う - STUDY WITH MIKU ver. -,STUDY WITH MIKU part2,初音ミク,0,False
1251,生きる - STUDY WITH MIKU ver. -,STUDY WITH MIKU part2,初音ミク,1,False
1235,神っぽいな - STUDY WITH MIKU ver. -,STUDY WITH MIKU part2,初音ミク,1,False
3818,PANDORA PARADOXXX,maimai ALL PERFECT COLLECTiON 5,削除,5,False
1308,のだ,のだ - Single,大漠波新,106,False
3302,One Last Kiss,One Last Kiss,宇多田ヒカル,0,False
1280,Ramelteon's Night,Epochmaking,宮守文学 & Hatsune Miku,87,True
1159,alive,alive,市瀬るぽ,255,True
1310,Step by step (feat. 鏡音リン),Reportage,市瀬るぽ,94,True
1325,FUTATSUBOSHI,FUTATSUBOSHI - Single,市瀬るぽ & 鏡音リン,53,True
1128,Seattle物语 II,平行四界Quadimension 3,平行四界Quadimension,220,False
1132,多情岸（洛天依原创）,多情岸,忘川风华录,339,True
1208,ブリキノダンス - STUDY WITH MIKU ver. -,STUDY WITH MIKU part3,日向電工,1,False
1200,マーシャル・マキシマイザー - STUDY WITH MIKU ver. -,STUDY WITH MIKU part3,柊マグネタイト,1,False
1261,アンテナ39 (feat. 初音ミク),初音ミク「マジカルミライ 2024」OFFICIAL ALBUM,柊マグネタイト,141,True
1323,ホシシズク,,森羅万象,61,True
1207,死んでしまったんだ - STUDY WITH MIKU ver. -,STUDY WITH MIKU part3,椎乃味醂,1,False
1124,一半一半,一半一半,洛天依,329,True
1192,月华舞,月华舞,洛天依,221,True
1285,歌行四方,歌行四方 - Single,洛天依,96,True
1134,操戈天下,洛天依作品集,洛天依,82,False
1133,前尘如梦, 热门华语136,洛天依,115,False
1125,勾指起誓,2:3,洛天依,65,False
1176,生,生,洛天依/DELA,85,False
1129,权御天下,洛天依作品集,洛天依/乌龟Sui,117,False
1130,霜雪千年,洛天依作品集,洛天依/乐正绫/COP,151,True
1135,中华铄金娘,中华少女Project (Deluxe Edition),洛天依/純白P,179,True
1273,Moonguys,MWLÁND,煮ル果実,94,True
1267,花となれ,KAF+YOU KAFU COMPILATION ALBUM,牛肉 & Yunosuke & 可不,16,False
1198,ロストアンブレラ - STUDY WITH MIKU ver. -,STUDY WITH MIKU part3,稲葉曇,0,False
1257,ラグトレイン,ラグトレイン,稲葉曇,49,False
1140,初心依然（初音未来、洛天依 BML同台应援曲）,初心依然（初音未来、洛天依BML同台应援曲）,米库喵/初音未来/洛天依/动点P/人形兎/Digifan,287,True
1144,Lemon,Lemon,米津玄师,1,False
1150,93少儿社版眼保健操音乐1重编版,热门华语235,群星,12,False
1127,齐天,洛天依,迁梦/洛天依,310,True
1131,非人哉,非人哉,非人哉/洛天依,164,False
1152,みんなみくみくにしてあげる♪,MOSAIC.WAV /// Heartsnative,鶴田加茂,127,False
1137,勾指起誓,,22/33,83,False
1286,恋愛裁判,EXIT TUNES PRESENTS Vocalofantasy feat.初音ミク,40mP,86,True
1142,RainyMood,RainyMood,,13,False
1151,Iなんです,25時、ナイトコードで。,,124,False
1263,📢起きて📢起きて📢起きて📢起きて📢起きて📢起きて📢起きて📢起きて📢起きて📢起きて📢起きて📢起きて📢起きて📢起きて📢起きて📢起きて📢起きて📢起きて,,,34,False
1262,オペラ！スペースオペラ！ ⧸ 初音ミク × 鏡音リン [LqteHTWNdu0],,,19,False
1148,东荟花园小学校歌《童年.梦想.成长》,,,4,False
1260,二中校歌,,,1,False
1149,二中苏元校歌,,,3,False
1320,二中苏元校歌,,,3,False
1147,广铁一中 校歌 伴奏,,,1,False
1146,广铁一中 校歌 清晰,,,1,False
1264,猫祭り,,,21,False
1175,15341073,,,69,False
1179,26791805,,,47,False
